,Original Solving Time,Initial Given Solving Time,Original Iterations,Initial Given Iterations
35,62.63079500198364,72.21126198768616,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3714}","{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 4310}"
36,54.99015188217163,51.75696396827698,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3218}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 3043}"
37,66.46070790290833,54.003925800323486,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3982}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3216}"
38,53.22386813163757,58.77294898033142,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3133}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3501}"
39,44.69236898422241,38.78930592536926,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2594}","{'Outer-Iteration': 360, 'Inner(CG)-Iteration': 2269}"
40,68.75834798812866,56.92514610290527,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 4105}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3334}"
41,52.32961297035217,55.88493514060974,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3066}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3290}"
42,42.03067994117737,61.990899085998535,"{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2448}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3700}"
43,53.36261200904846,48.26742720603943,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3066}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2816}"
44,45.37632608413696,48.2425639629364,"{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2637}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2843}"
45,61.26460599899292,50.58584785461426,"{'Outer-Iteration': 600, 'Inner(CG)-Iteration': 3571}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2972}"
46,53.837692975997925,51.336397886276245,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3176}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3046}"
47,48.72341299057007,43.21827483177185,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2851}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2529}"
48,49.109214067459106,62.01993203163147,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2875}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3681}"
49,55.22853183746338,63.86792016029358,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3243}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3834}"
50,57.04322099685669,61.34246206283569,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3370}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3669}"
51,49.240598917007446,72.22484588623047,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2905}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 4363}"
52,50.7157769203186,46.71979904174805,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2976}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2746}"
53,48.91297101974487,50.87011504173279,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2845}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3008}"
54,60.85429000854492,60.773159980773926,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3582}","{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3584}"
55,56.81662082672119,49.25575804710388,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3348}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2912}"
56,68.76414704322815,59.84754800796509,"{'Outer-Iteration': 560, 'Inner(CG)-Iteration': 4098}","{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3551}"
57,52.35803008079529,52.75020408630371,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3074}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 3112}"
58,60.111706018447876,88.46857905387878,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3548}","{'Outer-Iteration': 600, 'Inner(CG)-Iteration': 5291}"
59,47.65292286872864,49.17690706253052,"{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2494}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2828}"
60,50.8278489112854,45.578046798706055,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2747}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2577}"
61,49.609291791915894,60.412622928619385,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2865}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3581}"
62,65.89620590209961,51.532634019851685,"{'Outer-Iteration': 520, 'Inner(CG)-Iteration': 3910}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3002}"
63,57.51208782196045,53.98385214805603,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3376}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3138}"
64,48.54328393936157,51.464579820632935,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2853}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3010}"
65,52.50105094909668,46.40474987030029,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3071}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2706}"
66,53.477258920669556,52.04552102088928,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 2836}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2893}"
67,46.91446018218994,48.10737705230713,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2701}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2804}"
68,46.720442056655884,56.40681982040405,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2701}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 3327}"
69,54.53997182846069,60.01550102233887,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3201}","{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3543}"
70,57.07814908027649,56.73561882972717,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3397}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3405}"
71,47.18713188171387,39.939743995666504,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2813}","{'Outer-Iteration': 360, 'Inner(CG)-Iteration': 2350}"
72,46.16574501991272,44.86178398132324,"{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 2718}","{'Outer-Iteration': 400, 'Inner(CG)-Iteration': 2674}"
73,53.10381603240967,53.76240611076355,"{'Outer-Iteration': 480, 'Inner(CG)-Iteration': 3167}","{'Outer-Iteration': 440, 'Inner(CG)-Iteration': 3184}"
